F1,F2,F3,F4,F5
8.9,360,2.2,0,170
16.8,360,1.8,0,32
29.4,360,1,0,44
16.8,360,1.8,0,66
-2.9,360,2.9,0,40
-0.8,360,1.8,0,44
-2.6,360,1.3,0,12
15.3,360,1.5,0,35
15.3,360,1.5,0,19
-2.6,360,1.3,0,20
27.6,360,1.3,0,11
21,360,2.1,0,40
0.7,360,2.5,0,68
-1.7,360,1,0,44
3.1,360,1.7,0,56
0.7,360,2.5,0,60
23,360,1.1,0,70
2.4,360,3.5,0,34
16.5,360,1.9,0,34
16.5,360,1.9,0,47
6.5,360,3.4,0,54
27.6,360,1.3,0,25
8.6,360,1.4,0,30
33.2,360,1.7,0,34
33.2,360,1.7,0,34
-1.7,360,1,0,60
3.1,360,1.7,0,64
8.6,360,1.4,0,42
21,360,2.1,0,58
4.1,360,3.7,0,72
14.6,360,3.7,0,60
-0.8,360,5.1,0,16
-0.8,360,5.1,0,28
11.7,360,1.5,0,27
14.6,360,3.7,0,48
-6.6,360,1,0,34
17.3,360,1.5,0,65
9,360,1.1,0,64
9.4,360,1.6,0,64
-3.1,360,1.5,0,28
9,360,1.1,0,76
17.3,360,1.5,0,59
12.4,360,1.3,0,23
-3.1,360,4,0,62
-0.5,360,2.5,0,50
0.7,360,4.5,0,44
12.7,360,1.5,0,60
12.7,360,1.5,0,60
12.3,360,1.3,0,68
-3.1,360,4,0,25
4.1,360,3.7,0,83
-3.1,360,1.5,0,34
-0.5,360,2.5,0,38
12.4,360,1.3,0,24
11.7,360,1.5,0,20
19.7,360,1.1,0,68
26,360,2.5,0,55
22.2,360,0.9,0,47
22.2,360,0.9,0,59
26,360,2.5,0,61
-6.6,360,1,0,32
15.3,360,0.6,0,66
15.3,360,0.6,0,54
0.3,360,1.7,0,48
-2.7,360,2.6,0,14
-2.7,360,2.6,0,8
-4,360,1.1,0,28
-4,360,1.1,0,43
13.8,360,1.3,0,86
-0.8,360,0.6,0,36
2.2,360,2.9,0,24
14,360,0.5,0,40
25.4,360,1.7,0,37
5.8,360,1.5,0,36
1.5,360,0.6,0,38
1.5,360,0.6,0,34
13.9,360,0.9,0,46
5.8,360,1.5,0,22
14,360,0.5,0,22
-3.2,360,0.9,0,44
-3.2,360,0.9,0,32
2.2,360,2.9,0,34
8.3,360,3.6,0,32
8.3,360,3.6,0,32
-0.8,360,0.6,0,116
13.9,360,0.9,0,95
25.4,360,1.7,0,13
13.8,360,1.3,0,72
1.2,360,1.2,0,20
14,360,3.9,0,42
7.7,360,0.8,0,77
16.9,360,0.7,0,36
1.2,360,1.2,0,70
7.7,360,0.8,0,99
16.9,360,0.7,0,28
1.9,360,1.7,0,34
0.1,360,0.6,0,28
0.1,360,0.6,0,20
1.9,360,1.7,0,44
14,360,3.9,0,54
12.9,360,2.6,0,16
31.6,360,1.2,0,42
19.8,360,1.8,0,65
-5.3,360,4.5,0,24
24.1,360,2.8,0,37
4.8,360,1.5,0,31
-8.2,360,0.7,0,34
19.8,360,1.8,0,74
21.9,360,1.5,0,26
22.8,360,3,0,33
7.2,334,3.1,0,70
-2.5,335,3.1,0,33
-1.3,337,3.1,0,31
7,335,3.1,0,53
17.5,318,3.1,0,52
24.8,137,3.1,0,32
16.8,321,3.1,0,44
5.7,360,3.1,0,70
-0.8,334,3.2,0,38
9.5,360,3.2,0,40
13.9,299,3.2,0,38
9.5,360,3.2,0,32
15,360,3.2,0,32
-0.2,319,3.2,0,36
11.5,137,3.2,0,36
15.9,177,3.2,0,36
15.9,177,3.2,0,32
14.4,298,3.3,0,36
18.3,311,3.3,0,44
14.4,298,3.3,0,34
24.5,291,3.3,0,38
13.3,212,3.3,0,54
18.8,143,3.3,0,39
21.6,116,3.3,0,40
21.8,154,3.3,0,36
-8.1,311,3.4,0,36
-3,305,3.4,0,44
-2,335,3.4,0,46
7.2,272,3.4,0,45
7.2,272,3.4,0,35
22.7,129,3.4,0,42
14.7,344,3.4,0,48
11.7,263,3.4,0,42
23.8,360,3.4,0,56
8.8,360,3.5,0,53
16.1,146,3.5,0,32
17.2,217,3.5,0,51
-2.3,360,3.6,0,37
-1.3,316,3.6,0,42
21,321,3.6,0,32
15.9,327,3.6,0,36
14.7,289,3.6,0,62
20.9,303,3.6,0,32
24.3,360,3.6,0,35
16.6,160,3.6,0,40
17.8,347,3.6,0,50
-3.8,332,3.7,0,31
18,309,3.7,0,42
5.1,264,3.7,0,42
16.1,318,3.7,0,32
17.7,314,3.7,0,61
8.6,208,3.7,0,72
16.3,186,3.7,0,36
2.9,313,3.8,0,32
-1,332,3.8,0,46
16.7,334,3.8,0,43
1,347,3.8,0,39
5.3,360,3.8,0,43
3.9,288,3.9,0,38
6.9,294,3.9,0,42
-3,300,3.9,0,58
1.3,360,3.9,0,38
-0.9,323,3.9,0,37
19.7,317,3.9,0,40
7.5,120,4,0,43
23.3,153,4,0,34
23.4,158,4,0,38
3.1,338,4.1,0,36
2.4,327,4.1,0,54
2.7,360,4.1,0,38
29.1,315,4.1,0,38
15.2,162,4.1,0,47
17.9,360,4.1,0,42
-2.6,315,4.2,0,54
13.1,331,4.2,0,32
14.4,317,4.3,0,54
8.7,142,4.3,0,38
10.8,271,4.3,0,34
-0.9,335,4.4,0,37
7.2,335,4.4,0,38
-3.6,328,4.4,0,53
-0.5,313,4.4,0,44
-0.5,313,4.4,0,48
-0.9,335,4.4,0,45
13.2,170,4.4,0,49
16.2,280,4.5,0,50
9.9,360,4.6,0,52
-3.6,299,4.6,0,38
20.1,310,4.6,0,44
20.1,310,4.6,0,32
9.9,360,4.6,0,48
21.4,123,4.7,0,50
8.8,360,4.8,0,52
24,143,4.8,0,39
-4.5,338,4.9,0,60
-4.1,323,5,0,35
16.2,294,5,0,40
-4.1,323,5,0,37
16.2,294,5,0,56
16.8,171,5.1,0,45
20.9,181,5.1,0,36
20.9,181,5.1,0,40
-4.1,316,5.2,0,35
-4.1,316,5.2,0,37
18.2,319,5.2,0,62
27.9,125,5.2,0,32
24.7,144,5.3,0,50
15.6,360,5.4,0,40
8.2,318,5.6,0,44
8.4,291,5.9,0,32
-5.2,318,6.2,0,36
9.3,306,6.2,0,72
7.7,297,6.6,0,56
14.1,136,8.3,0,39
13.9,0,0.2,1,32
-4.6,0,0.4,1,42
12.4,168,1.1,1,38
14.7,360,1.6,1,36
17.9,191,2.3,1,32
17.5,210,2,3,48
22.2,0,0,0,48
23.6,0,0,0,52
7.8,0,0,0,58
2.4,0,0,0,44
22.2,0,0,0,42
18.6,0,0,0,42
19.4,0,0,0,34
24.8,0,0,0,38
-0.2,0,0,0,42
16.4,0,0,0,31
4.7,0,0,0,67
4.4,0,0,0,54
-6.1,0,0,0,36
25.4,0,0,0,40
11.2,0,0,0,44
14.2,0,0,0,33
1.1,0,0,0,49
4.7,0,0,0,73
9.5,0,0,0,73
12.9,0,0,0,56
23.2,0,0,0,40
19.8,0,0,0,48
24.6,0,0,0,64
4.8,0,0,0,65
7.5,0,0,0,39
8.7,0,0,0,68
10.9,0,0,0,68
19.7,0,0,0,58
23.7,0,0,0,62
2,0,0,0,80
17.9,0,0,0,35
17.8,0,0,0,36
0,0,0,0,44
-0.2,0,0,0,60
12.3,0,0,0,50
20.1,0,0,0,50
15.7,0,0,0,48
17.9,0,0,0,31
19.5,0,0,0,61
12.3,0,0,0,40
2,0,0,0,52
17,0,0,0,42
7.2,0,0,0,58
6.7,0,0,0,44
16.6,0,0,0,35
25,0,0,0,60
17,0,0,0,35
12.9,0,0,0,32
16.8,0,0,0,31
15.2,0,0,0,55
15.2,0,0,0,49
12.1,0,0,0,42
16.8,0,0,0,67
23.4,0,0,0,40
15.2,0,0,0,74
13.6,0,0,0,38
14.4,0,0,0,36
-1.3,0,0,0,52
10.8,0,0,0,31
13.5,0,0,0,65
19.4,0,0,0,62
19.2,0,0,0,40
-0.7,0,0,0,60
6.4,0,0,0,48
9.6,0,0,0,39
14.1,0,0,0,50
13.3,0,0,0,60
13.2,0,0,0,36
12.3,0,0,0,49
6,0,0,0,71
13.1,0,0,0,52
9.6,0,0,0,38
14.2,0,0,0,41
2.1,0,0,0,44
21,0,0,0,36
16.6,0,0,0,52
4.8,0,0,0,47
16.7,0,0,0,46
15,0,0,0,50
2.9,0,0,0,42
24,0,0,0,66
22,0,0,0,68
13.1,0,0,0,65
7.8,0,0,0,40
13.5,0,0,0,66
14.8,0,0,0,56
7.5,0,0,0,68
24.1,0,0.1,0,40
-2.3,0,0.1,0,36
0.4,0,0.1,0,41
24.8,0,0.1,0,42
8.2,0,0.1,0,44
-1.1,0,0.1,0,64
6.7,0,0.1,0,36
2.5,0,0.1,0,47
3.1,0,0.1,0,46
16.1,0,0.1,0,40
-2.2,0,0.1,0,44
8,0,0.1,0,33
9,0,0.1,0,33
0.4,0,0.1,0,37
3,0,0.1,0,38
15.5,0,0.1,0,32
11.6,0,0.1,0,48
0.2,0,0.1,0,41
-2.4,0,0.1,0,44
16.6,0,0.1,0,35
17,0,0.1,0,49
23.4,0,0.1,0,42
4.5,0,0.1,0,65
19.7,0,0.1,0,34
8.2,0,0.1,0,36
13.2,0,0.1,0,54
26,0,0.1,0,41
0.8,0,0.1,0,32
10.9,0,0.1,0,36
9.8,0,0.1,0,38
16,0,0.1,0,34
13.6,0,0.1,0,33
8.1,0,0.1,0,56
20.4,0,0.1,0,35
1.1,0,0.1,0,59
20.1,0,0.1,0,43
5.2,0,0.1,0,65
12.5,0,0.1,0,54
12.7,0,0.1,0,36
20.4,0,0.1,0,39
22.3,0,0.1,0,48
8.4,0,0.1,0,38
19.2,0,0.1,0,48
3.8,0,0.1,0,40
12,0,0.1,0,31
18.6,0,0.1,0,36
15,0,0.1,0,36
8.7,0,0.1,0,64
14.3,0,0.1,0,53
14.1,0,0.1,0,40
14,0,0.1,0,59
18.7,0,0.1,0,52
13.9,0,0.1,0,53
10.3,0,0.1,0,51
13.5,0,0.1,0,54
14.9,0,0.1,0,33
14.7,0,0.1,0,70
14,0,0.1,0,42
11,0,0.1,0,43
9.3,0,0.1,0,42
11.7,0,0.1,0,70
9.6,0,0.1,0,51
24.3,0,0.1,0,46
14,0,0.1,0,33
14,0,0.1,0,36
14.1,0,0.1,0,36
11.1,0,0.1,0,50
23,0,0.1,0,44
19.9,0,0.1,0,36
23.4,0,0.1,0,62
6.9,0,0.1,0,70
19.2,0,0.1,0,37
21.6,0,0.1,0,59
14.1,0,0.1,0,60
15.4,0,0.1,0,66
18.6,0,0.1,0,36
7.1,0,0.1,0,56
21.3,0,0.1,0,65
10.4,0,0.1,0,42
30.7,0,0.1,0,40
6.8,0,0.1,0,46
27.3,0,0.1,0,36
15.8,0,0.1,0,80
12.7,0,0.1,0,48
11.7,0,0.1,0,54
12.5,0,0.1,0,58
6.2,0,0.2,0,58
8.7,0,0.2,0,58
23.6,0,0.2,0,46
19.8,0,0.2,0,34
1.5,0,0.2,0,40
-1.2,0,0.2,0,62
23.6,0,0.2,0,44
0.5,0,0.2,0,54
-2.9,0,0.2,0,40
-4.8,0,0.2,0,42
17.5,0,0.2,0,33
-0.4,0,0.2,0,57
19.3,0,0.2,0,32
-0.9,0,0.2,0,62
13,0,0.2,0,38
0.1,0,0.2,0,36
22,0,0.2,0,32
16.4,0,0.2,0,38
2.7,0,0.2,0,41
1.1,0,0.2,0,47
3.4,0,0.2,0,47
1,0,0.2,0,43
2.7,0,0.2,0,36
-0.3,0,0.2,0,52
-5.4,0,0.2,0,34
11.9,0,0.2,0,40
-1.1,0,0.2,0,43
23.7,0,0.2,0,36
16.7,0,0.2,0,34
5.5,0,0.2,0,50
9.7,0,0.2,0,32
-2.2,0,0.2,0,48
21.7,0,0.2,0,39
24.3,0,0.2,0,46
1.1,0,0.2,0,50
4.6,0,0.2,0,50
25.1,0,0.2,0,60
1.4,0,0.2,0,76
13.2,0,0.2,0,40
4.4,0,0.2,0,44
0.5,0,0.2,0,61
