date,PM25,temp,ws,hum,press,distance,SO2,CO,O3,NO2,PM10
2019-08-07 PM 10:00:00,45,27,1.3,96,34.2,203,0.004,0.4,0.049,0.02,66
2019-08-07 PM 11:00:00,61,26.9,2.4,96,34,171,0.004,0.4,0.032,0.026,90
2019-08-08 AM 1:00:00,61,26.7,2.1,95,33.2,247,0.003,0.4,0.036,0.011,95
2019-08-08 AM 2:00:00,58,26.3,1.8,96,32.8,225,0.003,0.4,0.04,0.009,88
2019-08-08 AM 3:00:00,56,26.3,0.9,95,32.4,219,0.003,0.4,0.047,0.007,84
2019-08-08 AM 4:00:00,61,26.5,1.2,94,32.4,279,0.003,0.4,0.058,0.007,84
2019-08-08 AM 5:00:00,59,26.4,1.6,93,31.9,226,0.003,0.4,0.058,0.007,83
2019-08-08 AM 6:00:00,57,26.3,2.4,93,31.7,215,0.003,0.4,0.05,0.011,84
2019-08-08 AM 7:00:00,61,26.3,2.7,93,31.7,237,0.002,0.4,0.038,0.016,86
2019-08-08 AM 8:00:00,65,26.9,2,87,30.7,379,0.004,0.5,0.025,0.03,90
2019-08-08 AM 9:00:00,61,27.8,2.1,77,28.6,670,0.004,0.6,0.031,0.026,91
2019-08-08 AM 10:00:00,46,29,2.3,73,29.1,985,0.005,0.6,0.04,0.022,69
2019-08-08 AM 11:00:00,43,29.6,2.7,72,29.8,881,0.005,0.5,0.048,0.021,61
2019-08-08 PM 12:00:00,33,29.8,2.4,73,30.6,827,0.004,0.3,0.045,0.012,51
2019-08-08 PM 1:00:00,37,30.4,2.9,72,31.1,1046,0.003,0.3,0.053,0.009,51
2019-08-08 PM 2:00:00,37,30.6,3,71,31.1,1192,0.003,0.3,0.047,0.011,54
2019-08-08 PM 3:00:00,31,30.1,2.5,73,31.1,1188,0.003,0.3,0.037,0.01,41
2019-08-08 PM 4:00:00,33,29.7,2.2,75,31.1,959,0.003,0.3,0.031,0.01,45
2019-08-08 PM 5:00:00,28,29.6,3.3,73,30.2,1271,0.003,0.3,0.028,0.012,41
2019-08-08 PM 6:00:00,29,29.2,3.4,76,30.7,1023,0.003,0.3,0.024,0.013,43
2019-08-08 PM 7:00:00,28,29.2,1.2,78,31.5,1950,0.003,0.4,0.024,0.013,40
2019-08-08 PM 8:00:00,28,27.6,2.4,77,28.3,1791,0.003,0.3,0.022,0.012,41
2019-08-08 PM 9:00:00,31,27.5,2.6,71,26,2000,0.003,0.3,0.024,0.009,44
2019-08-08 PM 10:00:00,29,27,1.7,78,27.7,2000,0.003,0.3,0.026,0.009,45
2019-08-08 PM 11:00:00,33,26.8,1.3,75,26.3,2000,0.003,0.3,0.023,0.01,44
2019-08-09 AM 1:00:00,35,26.6,1.1,75,26,1808,0.003,0.3,0.018,0.01,53
2019-08-09 AM 2:00:00,33,26.5,1.4,80,27.6,1547,0.003,0.3,0.013,0.013,52
2019-08-09 AM 3:00:00,29,26.2,1.3,73,24.7,2000,0.003,0.3,0.014,0.013,46
2019-08-09 AM 4:00:00,25,26.2,1.6,79,26.8,1450,0.003,0.4,0.011,0.013,43
2019-08-09 AM 5:00:00,26,26.1,1.5,82,27.6,1497,0.003,0.4,0.011,0.012,41
2019-08-09 AM 6:00:00,25,26,1,86,28.8,874,0.003,0.4,0.005,0.016,43
2019-08-09 AM 7:00:00,26,26.7,1,83,28.9,904,0.003,0.4,0.005,0.016,41
2019-08-09 AM 8:00:00,24,27.9,1.3,73,27.4,1233,0.003,0.4,0.007,0.02,39
2019-08-09 AM 9:00:00,27,28.8,2.8,71,28.1,1378,0.003,0.4,0.012,0.022,44
2019-08-09 AM 10:00:00,24,29.7,2.5,67,27.9,1835,0.004,0.4,0.017,0.023,42
2019-08-09 AM 11:00:00,22,30.4,2.5,65,28.1,2000,0.005,0.4,0.027,0.029,41
2019-08-09 PM 12:00:00,21,31.4,2.4,59,27.1,2000,0.004,0.3,0.04,0.015,40
2019-08-09 PM 1:00:00,16,31.2,3.3,63,28.6,2000,0.004,0.3,0.04,0.009,31
2019-08-09 PM 2:00:00,17,31.4,3.4,65,29.8,2000,0.004,0.3,0.04,0.011,27
2019-08-09 PM 3:00:00,16,32,3,61,28.9,2000,0.004,0.3,0.044,0.013,35
2019-08-09 PM 4:00:00,14,31.8,3.1,60,28.1,2000,0.003,0.3,0.024,0.011,28
2019-08-09 PM 5:00:00,11,31.8,3.2,65,30.4,2000,0.003,0.3,0.016,0.009,24
2019-08-09 PM 6:00:00,11,31.3,2.2,63,28.8,2000,0.003,0.3,0.014,0.009,24
2019-08-09 PM 7:00:00,12,29.8,3.5,77,32.2,2000,0.003,0.3,0.012,0.011,25
2019-08-09 PM 8:00:00,14,28.3,3.2,82,31.5,2000,0.003,0.3,0.014,0.012,24
2019-08-09 PM 9:00:00,17,27.8,2.3,85,31.7,2000,0.003,0.3,0.015,0.01,28
2019-08-09 PM 10:00:00,15,27.7,1.9,87,32.2,1808,0.003,0.3,0.013,0.011,30
2019-08-09 PM 11:00:00,17,27.7,2.3,82,30.4,2000,0.003,0.3,0.01,0.012,28
2019-08-10 AM 1:00:00,15,27.6,1.2,84,30.9,1875,0.003,0.3,0.015,0.007,28
2019-08-10 AM 2:00:00,18,27.5,1.4,86,31.5,1875,0.003,0.3,0.013,0.008,28
2019-08-10 AM 3:00:00,20,27.3,1.2,88,31.9,1500,0.003,0.3,0.01,0.007,29
2019-08-10 AM 4:00:00,20,27.3,1,87,31.5,1500,0.003,0.3,0.008,0.007,32
2019-08-10 AM 5:00:00,18,27.2,2,86,30.9,1500,0.003,0.3,0.007,0.008,30
2019-08-10 AM 6:00:00,18,27.3,2.8,83,30,1100,0.002,0.3,0.003,0.009,32
2019-08-10 AM 7:00:00,19,27.8,2.5,81,30.2,1100,0.003,0.3,0.002,0.008,28
2019-08-10 AM 8:00:00,17,29.1,2.6,76,30.6,1400,0.003,0.3,0.005,0.009,29
2019-08-10 AM 9:00:00,17,30.9,2.1,68,30.2,1600,0.003,0.3,0.011,0.015,31
2019-08-10 AM 10:00:00,23,32.6,2.4,60,29.5,1600,0.003,0.4,0.025,0.021,37
2019-08-10 AM 11:00:00,22,33.2,3.2,57,28.9,2000,0.003,0.4,0.052,0.02,40
2019-08-10 PM 12:00:00,22,34.1,2.7,54,28.8,2000,0.003,0.4,0.071,0.015,35
2019-08-10 PM 1:00:00,22,34.7,2.7,49,27.1,2000,0.003,0.4,0.089,0.012,33
2019-08-10 PM 2:00:00,21,35.7,2.4,45,26.3,2000,0.004,0.3,0.094,0.011,34
2019-08-10 PM 3:00:00,21,35.1,3.8,49,27.6,2000,0.003,0.3,0.097,0.01,34
2019-08-10 PM 4:00:00,19,35.3,3.2,50,28.4,2000,0.003,0.3,0.087,0.009,31
2019-08-10 PM 5:00:00,16,34.7,4,51,28.1,2000,0.003,0.3,0.074,0.01,30
2019-08-10 PM 6:00:00,13,34.5,3.1,50,27.2,2000,0.003,0.3,0.066,0.012,28
2019-08-10 PM 7:00:00,13,33.5,3.8,48,24.7,2000,0.003,0.3,0.058,0.013,28
2019-08-10 PM 8:00:00,13,32.6,3.9,50,24.6,2000,0.003,0.4,0.038,0.023,23
2019-08-10 PM 9:00:00,12,32.3,5.2,53,25.5,2000,0.003,0.4,0.029,0.024,23
2019-08-10 PM 10:00:00,17,31.4,4.5,56,25.6,2000,0.004,0.4,0.027,0.018,29
2019-08-10 PM 11:00:00,19,30.6,4,57,25,2000,0.004,0.3,0.021,0.011,38
2019-08-11 AM 1:00:00,9,29,5.1,58,23.1,2000,0.003,0.2,0.019,0.007,17
2019-08-11 AM 2:00:00,9,28.6,4.4,58,22.7,2000,0.003,0.3,0.016,0.008,17
2019-08-11 AM 3:00:00,13,28.3,5.1,60,22.9,2000,0.003,0.3,0.018,0.008,19
2019-08-11 AM 4:00:00,14,28,5.1,61,22.9,2000,0.003,0.3,0.023,0.006,25
2019-08-11 AM 5:00:00,13,27.6,4.9,62,22.8,2000,0.003,0.3,0.021,0.005,21
2019-08-11 AM 6:00:00,10,27.5,6.2,61,22.4,2000,0.002,0.3,0.017,0.006,21
2019-08-11 AM 7:00:00,9,28.3,5.4,60,22.9,2000,0.003,0.3,0.018,0.007,20
2019-08-11 AM 8:00:00,10,29.4,5.3,58,23.7,2000,0.003,0.3,0.018,0.008,20
2019-08-11 AM 9:00:00,12,30,7.2,57,24.1,2000,0.003,0.3,0.021,0.007,31
2019-08-11 AM 10:00:00,15,30.3,5.4,57,24.6,2000,0.002,0.3,0.027,0.007,32
2019-08-11 AM 11:00:00,13,31.9,7.7,51,24,2000,0.003,0.3,0.032,0.007,30
2019-08-11 PM 12:00:00,11,33.1,6.8,47,23.7,2000,0.003,0.3,0.038,0.006,39
2019-08-11 PM 1:00:00,15,34.4,6.3,44,23.8,2000,0.003,0.3,0.046,0.006,47
2019-08-11 PM 2:00:00,14,35,6.7,42,23.5,2000,0.003,0.3,0.042,0.006,32
2019-08-11 PM 3:00:00,10,34.8,7,43,23.8,2000,0.003,0.3,0.041,0.007,25
2019-08-11 PM 4:00:00,11,34.4,6.9,44,23.8,2000,0.003,0.3,0.04,0.006,27
2019-08-11 PM 5:00:00,12,33.4,5.8,46,23.5,2000,0.003,0.3,0.039,0.007,30
2019-08-11 PM 6:00:00,14,32.4,6.5,47,22.8,2000,0.003,0.3,0.035,0.008,31
2019-08-11 PM 7:00:00,12,31.7,7.1,50,23.2,2000,0.003,0.3,0.032,0.009,27
2019-08-11 PM 8:00:00,12,31.5,7.2,51,23.5,1611,0.003,0.3,0.027,0.013,26
2019-08-11 PM 9:00:00,12,31.3,7.7,51,23.2,2000,0.003,0.3,0.027,0.01,25
2019-08-11 PM 10:00:00,11,29.8,6.1,64,26.8,1572,0.003,0.3,0.024,0.009,22
2019-08-11 PM 11:00:00,13,26,5.7,87,29.1,639,0.002,0.3,0.022,0.007,26
2019-08-12 AM 1:00:00,13,24.6,4.3,97,29.8,341,0.002,0.3,0.016,0.008,25
2019-08-12 AM 2:00:00,12,24.6,4.1,97,29.8,541,0.002,0.3,0.016,0.007,23
2019-08-12 AM 3:00:00,12,24.6,3.9,97,29.8,584,0.003,0.3,0.017,0.006,22
2019-08-12 AM 4:00:00,15,24.8,3.1,96,30,558,0.003,0.3,0.015,0.007,23
2019-08-12 AM 5:00:00,18,24.7,2.8,97,30,138,0.002,0.3,0.014,0.008,25
2019-08-12 AM 6:00:00,17,24.7,2.9,98,30.4,77,0.002,0.3,0.012,0.013,28
2019-08-12 AM 7:00:00,19,24.8,3.6,98,30.6,294,0.003,0.3,0.008,0.016,27
2019-08-12 AM 8:00:00,15,24.9,3.9,98,30.7,405,0.003,0.3,0.007,0.017,25
2019-08-12 AM 9:00:00,13,25,4.5,98,30.9,764,0.002,0.3,0.006,0.018,22
2019-08-12 AM 10:00:00,11,25.3,5.1,98,31.5,990,0.002,0.3,0.006,0.017,16
2019-08-12 AM 11:00:00,11,26.1,5,97,32.6,1250,0.002,0.3,0.007,0.013,17
2019-08-12 PM 12:00:00,11,26.8,5.2,89,31.3,1658,0.002,0.3,0.009,0.012,20
2019-08-12 PM 1:00:00,12,26.6,4.5,94,32.6,860,0.002,0.3,0.01,0.014,19
2019-08-12 PM 2:00:00,13,26.5,3.8,97,33.4,491,0.002,0.3,0.013,0.014,23
2019-08-12 PM 3:00:00,12,27.1,4,97,34.6,410,0.002,0.3,0.014,0.013,19
2019-08-12 PM 4:00:00,12,28.1,3.7,85,32.2,1391,0.003,0.3,0.017,0.013,17
2019-08-12 PM 5:00:00,14,28.4,3.9,84,32.4,1714,0.003,0.3,0.022,0.016,22
2019-08-12 PM 6:00:00,18,28.3,3.9,89,34.2,1050,0.003,0.4,0.017,0.021,30
2019-08-12 PM 7:00:00,18,27.8,4,94,35,690,0.003,0.4,0.015,0.023,31
2019-08-12 PM 8:00:00,16,27.2,2.9,96,34.4,624,0.003,0.4,0.01,0.026,34
2019-08-12 PM 9:00:00,17,26.8,4.7,97,34,664,0.003,0.4,0.005,0.03,30
2019-08-12 PM 10:00:00,13,26.4,1.6,97,33.2,547,0.002,0.4,0.01,0.022,29
2019-08-12 PM 11:00:00,12,26.5,2.9,98,33.8,653,0.002,0.3,0.011,0.016,22
2019-08-13 AM 1:00:00,11,26.4,3.1,96,33,1296,0.002,0.4,0.002,0.029,22
2019-08-13 AM 2:00:00,12,25.9,3.9,92,30.6,1145,0.003,0.4,0.002,0.027,22
2019-08-13 AM 3:00:00,13,24.4,3.6,95,28.9,1343,0.003,0.3,0.021,0.014,26
2019-08-13 AM 4:00:00,13,23.8,3,95,27.9,1004,0.002,0.3,0.036,0.005,24
2019-08-13 AM 5:00:00,11,23.5,2.7,96,27.7,1129,0.002,0.3,0.044,0.005,20
2019-08-13 AM 6:00:00,12,23.8,2.2,96,28.3,588,0.003,0.4,0.037,0.012,18
2019-08-13 AM 7:00:00,14,24.1,1.3,96,28.8,1105,0.003,0.4,0.03,0.017,21
2019-08-13 AM 8:00:00,16,24.4,1.9,96,29.3,632,0.003,0.4,0.025,0.02,23
2019-08-13 AM 9:00:00,15,24.7,2,97,30,323,0.003,0.4,0.023,0.019,25
2019-08-13 AM 10:00:00,16,26.1,1.2,96,32.4,670,0.003,0.5,0.015,0.026,25
2019-08-13 AM 11:00:00,16,27.6,1.4,80,29.5,1177,0.003,0.5,0.017,0.026,27
2019-08-13 PM 12:00:00,18,29.3,1.7,69,28.1,1247,0.003,0.5,0.02,0.024,31
2019-08-13 PM 1:00:00,23,30.3,1.7,66,28.4,1404,0.003,0.5,0.029,0.026,38
2019-08-13 PM 2:00:00,24,30.5,0.8,64,27.9,1328,0.003,0.5,0.039,0.027,46
2019-08-13 PM 3:00:00,25,31.4,2.3,62,28.4,2000,0.003,0.5,0.039,0.027,45
2019-08-13 PM 4:00:00,31,31.1,3,63,28.4,2000,0.003,0.5,0.039,0.027,47
2019-08-13 PM 5:00:00,40,31.5,2.1,63,28.9,1975,0.004,0.4,0.109,0.021,63
2019-08-13 PM 6:00:00,34,31.2,2.6,69,31.3,1630,0.004,0.4,0.07,0.019,52
2019-08-13 PM 7:00:00,27,29.4,2.9,74,30.2,1615,0.004,0.5,0.056,0.021,45
2019-08-13 PM 8:00:00,31,28.7,1.7,72,28.3,1863,0.003,0.6,0.056,0.018,52
2019-08-13 PM 9:00:00,34,28.3,0.8,77,29.5,1501,0.004,0.5,0.04,0.022,62
2019-08-13 PM 10:00:00,32,28.1,2.3,78,29.5,980,0.004,0.5,0.028,0.026,63
2019-08-13 PM 11:00:00,32,27.3,1.1,88,31.9,814,0.003,0.4,0.024,0.02,63
2019-08-14 AM 1:00:00,27,27.1,0.8,88,31.5,820,0.003,0.4,0.023,0.012,50
2019-08-14 AM 2:00:00,25,27,1.8,92,32.6,649,0.003,0.4,0.017,0.012,48
2019-08-14 AM 3:00:00,26,26.6,1.5,92,31.9,782,0.003,0.4,0.018,0.01,51
2019-08-14 AM 4:00:00,24,26.6,1.7,96,33.4,317,0.003,0.4,0.014,0.011,44
2019-08-14 AM 5:00:00,22,26.5,1.5,96,33.2,254,0.003,0.4,0.015,0.007,38
2019-08-14 AM 6:00:00,16,26.3,1.5,96,32.8,367,0.003,0.3,0.01,0.009,32
2019-08-14 AM 7:00:00,12,27.1,1.7,93,33.2,473,0.003,0.3,0.006,0.011,27
2019-08-14 AM 8:00:00,10,28.7,1.8,80,31.3,1712,0.003,0.4,0.006,0.013,28
2019-08-14 AM 9:00:00,14,29.9,2.3,68,28.6,2000,0.003,0.4,0.011,0.014,28
2019-08-14 AM 10:00:00,12,31.2,1.5,65,29.5,2000,0.003,0.3,0.013,0.013,24
2019-08-14 AM 11:00:00,11,31.8,1.6,58,27.2,2000,0.003,0.3,0.017,0.014,21
2019-08-14 PM 12:00:00,9,32.2,1,62,29.7,2000,0.003,0.3,0.022,0.017,20
2019-08-14 PM 1:00:00,10,32.4,2.7,58,28.1,2000,0.003,0.3,0.037,0.016,19
2019-08-14 PM 2:00:00,14,33,3,57,28.6,2000,0.003,0.3,0.057,0.015,23
2019-08-14 PM 3:00:00,17,32.6,2.9,65,31.9,1808,0.004,0.3,0.062,0.021,30
2019-08-14 PM 4:00:00,21,31.8,3,68,31.9,1920,0.004,0.5,0.06,0.025,45
2019-08-14 PM 5:00:00,25,31.4,3,72,33,2000,0.004,0.4,0.062,0.02,51
2019-08-14 PM 6:00:00,24,31.2,2.6,72,32.6,2000,0.004,0.4,0.055,0.017,45
2019-08-14 PM 7:00:00,23,29.4,2.6,87,35.6,1083,0.004,0.4,0.038,0.018,35
2019-08-14 PM 8:00:00,21,28.6,1.6,84,32.8,2000,0.003,0.4,0.015,0.025,35
2019-08-14 PM 9:00:00,17,28.3,1.8,86,33,1825,0.003,0.4,0.011,0.028,32
2019-08-14 PM 10:00:00,15,28.4,0.8,81,31.3,2000,0.003,0.3,0.009,0.018,25
2019-08-14 PM 11:00:00,12,28.2,3.4,72,27.4,2000,0.002,0.3,0.013,0.009,19
2019-08-15 AM 1:00:00,10,28.4,4.1,66,25.5,2000,0.003,0.3,0.006,0.014,21
2019-08-15 AM 2:00:00,8,28.2,4,68,26,2000,0.002,0.3,0.007,0.011,23
2019-08-15 AM 3:00:00,8,28.1,4,66,25,2000,0.003,0.3,0.01,0.008,21
2019-08-15 AM 4:00:00,8,28.2,4.8,65,24.7,2000,0.003,0.3,0.009,0.008,18
2019-08-15 AM 5:00:00,8,27.9,4.3,68,25.5,2000,0.002,0.3,0.013,0.006,17
2019-08-15 AM 6:00:00,7,27.6,3.1,69,25.3,2000,0.002,0.3,0.012,0.007,16
2019-08-15 AM 7:00:00,6,27.4,4.4,68,24.7,2000,0.003,0.3,0.01,0.008,18
2019-08-15 AM 8:00:00,6,27.4,4.9,66,24,2000,0.002,0.3,0.011,0.008,15
2019-08-15 AM 9:00:00,6,27.4,2.2,71,25.8,2000,0.003,0.3,0.01,0.009,15
2019-08-15 AM 10:00:00,6,27.5,2.9,70,25.6,2000,0.002,0.3,0.011,0.009,18
2019-08-15 AM 11:00:00,7,27.8,3.9,71,26.4,2000,0.002,0.3,0.012,0.01,15
2019-08-15 PM 12:00:00,6,27.2,2.4,85,30.6,1050,0.002,0.3,0.016,0.009,17
2019-08-15 PM 1:00:00,5,25.9,2.3,95,31.7,632,0.002,0.3,0.015,0.009,12
2019-08-15 PM 2:00:00,5,25.7,4.1,96,31.7,1274,0.002,0.3,0.011,0.011,13
2019-08-15 PM 3:00:00,4,25.8,3.9,96,31.9,2000,0.002,0.3,0.012,0.008,10
2019-08-15 PM 4:00:00,3,25.5,3.8,95,30.9,2000,0.002,0.3,0.015,0.007,8
2019-08-15 PM 5:00:00,3,25.7,3.7,87,28.6,2000,0.002,0.3,0.016,0.006,7
2019-08-15 PM 6:00:00,3,26.2,3.2,83,28.1,2000,0.003,0.3,0.015,0.007,7
2019-08-15 PM 7:00:00,3,25.6,3.7,86,28.1,2000,0.002,0.3,0.015,0.005,9
2019-08-15 PM 8:00:00,3,24.8,3.3,88,27.4,2000,0.003,0.3,0.016,0.004,10
2019-08-15 PM 9:00:00,3,24.2,4,87,26.1,2000,0.002,0.3,0.016,0.005,9
2019-08-15 PM 10:00:00,3,24,2.9,86,25.6,2000,0.003,0.3,0.017,0.005,7
2019-08-15 PM 11:00:00,3,23.8,2.8,84,24.7,2000,0.002,0.3,0.015,0.006,8
2019-08-16 AM 1:00:00,4,23.9,2.5,82,24.3,2000,0.002,0.3,0.015,0.005,9
2019-08-16 AM 2:00:00,2,23.9,2.1,80,23.7,2000,0.002,0.3,0.016,0.003,10
2019-08-16 AM 3:00:00,2,23.8,1.6,81,23.8,2000,0.002,0.3,0.015,0.003,9
2019-08-16 AM 4:00:00,3,23.9,0.5,80,23.7,2000,0.002,0.3,0.013,0.004,10
2019-08-16 AM 5:00:00,4,23.8,1.7,84,24.7,2000,0.003,0.3,0.01,0.006,15
2019-08-16 AM 6:00:00,7,23.9,2.1,89,26.3,2000,0.003,0.3,0.005,0.012,17
2019-08-16 AM 7:00:00,5,24.1,2.1,87,26,2000,0.003,0.3,0.005,0.017,16
2019-08-16 AM 8:00:00,3,25.5,2.4,87,28.3,2000,0.003,0.4,0.003,0.021,12
2019-08-16 AM 9:00:00,5,26,3.6,86,28.8,2000,0.003,0.5,0.007,0.017,17
2019-08-16 AM 10:00:00,8,26.5,4.2,82,28.3,2000,0.003,0.3,0.018,0.008,19
2019-08-16 AM 11:00:00,11,26.5,4,83,28.6,2000,0.003,0.3,0.026,0.008,21
2019-08-16 PM 12:00:00,12,27.8,3.9,76,28.3,2000,0.003,0.4,0.03,0.007,25
2019-08-16 PM 1:00:00,12,28.6,4.5,75,29.3,1987,0.003,0.4,0.037,0.008,21
2019-08-16 PM 2:00:00,13,27.6,5.7,73,26.9,2000,0.003,0.4,0.043,0.007,24
2019-08-16 PM 3:00:00,13,27.7,5.6,76,28.1,1634,0.003,0.5,0.048,0.009,31
2019-08-16 PM 4:00:00,16,27.9,6.4,72,26.9,1937,0.003,0.5,0.05,0.009,38
2019-08-16 PM 5:00:00,16,27.8,5.6,69,25.6,1957,0.003,0.5,0.054,0.01,37
2019-08-16 PM 6:00:00,17,26.8,4.9,80,28.1,1650,0.003,0.4,0.054,0.01,35
2019-08-16 PM 7:00:00,18,26.2,6.3,76,25.8,1885,0.003,0.5,0.052,0.013,40
2019-08-16 PM 8:00:00,20,25.6,5.7,80,26.1,2000,0.003,0.5,0.051,0.012,41
2019-08-16 PM 9:00:00,21,25.3,4.4,82,26.3,1200,0.003,0.7,0.064,0.009,43
2019-08-16 PM 10:00:00,30,25.2,4,79,25.2,1100,0.003,0.8,0.077,0.009,53
2019-08-16 PM 11:00:00,30,25,3.3,82,26,1100,0.003,0.6,0.074,0.01,55
2019-08-17 AM 1:00:00,24,25,3.1,87,27.4,1167,0.003,0.5,0.064,0.008,44
2019-08-17 AM 2:00:00,25,25,3.5,88,27.7,1191,0.003,0.5,0.061,0.007,45
2019-08-17 AM 3:00:00,24,24.7,3.8,88,27.2,1079,0.004,0.5,0.053,0.012,46
2019-08-17 AM 4:00:00,23,24.5,2.9,82,25.2,1588,0.003,0.4,0.062,0.007,44
2019-08-17 AM 5:00:00,17,24.3,2.7,81,24.6,1718,0.003,0.4,0.059,0.009,38
2019-08-17 AM 6:00:00,18,24.1,2.2,75,22.4,1987,0.003,0.4,0.052,0.013,38
2019-08-17 AM 7:00:00,14,24.3,2.4,77,23.4,1962,0.003,0.4,0.053,0.017,33
2019-08-17 AM 8:00:00,13,24.6,2.6,76,23.4,2000,0.004,0.4,0.059,0.014,29
2019-08-17 AM 9:00:00,15,25.1,2,75,23.8,2000,0.004,0.4,0.059,0.015,30
2019-08-17 AM 10:00:00,15,25.6,1.9,73,23.8,1927,0.003,0.4,0.067,0.013,32
2019-08-17 AM 11:00:00,14,26,2.2,72,24.1,1826,0.004,0.4,0.075,0.008,36
2019-08-17 PM 12:00:00,14,26.3,3.1,72,24.6,2000,0.003,0.5,0.077,0.009,39
2019-08-17 PM 1:00:00,14,28.1,2.3,65,24.6,2000,0.003,0.4,0.08,0.007,33
2019-08-17 PM 2:00:00,16,28,3.1,66,24.9,2000,0.004,0.5,0.079,0.009,32
2019-08-17 PM 3:00:00,19,28,4,62,23.4,2000,0.003,0.4,0.074,0.008,36
2019-08-17 PM 4:00:00,20,28,4.7,56,21,2000,0.003,0.4,0.074,0.007,30
2019-08-17 PM 5:00:00,13,28,3,63,23.7,2000,0.003,0.4,0.075,0.007,26
2019-08-17 PM 6:00:00,14,26.5,3.9,69,23.8,2000,0.003,0.5,0.073,0.009,28
2019-08-17 PM 7:00:00,17,25.5,3.2,77,25,1832,0.003,0.4,0.075,0.008,31
2019-08-17 PM 8:00:00,18,24.7,4.2,76,23.5,2000,0.003,0.4,0.076,0.008,32
2019-08-17 PM 9:00:00,14,24.3,3.1,75,22.7,2000,0.003,0.4,0.061,0.008,30
2019-08-17 PM 10:00:00,8,23.9,3.4,76,22.5,2000,0.002,0.4,0.052,0.008,22
2019-08-17 PM 11:00:00,10,23.7,3.1,79,23.1,2000,0.003,0.4,0.051,0.009,21
2019-08-18 AM 1:00:00,11,23.5,2.7,83,24,2000,0.003,0.4,0.045,0.011,22
2019-08-18 AM 2:00:00,9,23.5,2.3,84,24.3,2000,0.002,0.4,0.043,0.011,23
2019-08-18 AM 3:00:00,10,23.5,1.8,82,23.7,2000,0.003,0.4,0.042,0.01,20
2019-08-18 AM 4:00:00,12,23.6,2.3,78,22.7,2000,0.002,0.4,0.046,0.01,22
2019-08-18 AM 5:00:00,12,23.5,3,84,24.3,2000,0.003,0.4,0.043,0.01,22
2019-08-18 AM 6:00:00,11,23.2,2.1,89,25.2,1186,0.003,0.4,0.032,0.013,24
2019-08-18 AM 7:00:00,11,23.2,2.5,89,25.2,1106,0.003,0.4,0.027,0.01,22
2019-08-18 AM 8:00:00,15,24.2,2.9,81,24.4,1566,0.003,0.4,0.025,0.015,25
2019-08-18 AM 9:00:00,13,25.2,1.9,64,20.4,2000,0.003,0.4,0.051,0.009,24
2019-08-18 AM 10:00:00,14,26.1,2.1,60,20.2,2000,0.004,0.5,0.065,0.006,27
2019-08-18 AM 11:00:00,15,26.6,2.4,62,21.6,2000,0.004,0.5,0.063,0.005,27
2019-08-18 PM 12:00:00,14,26.8,3.4,64,22.5,1359,0.004,0.6,0.061,0.006,26
2019-08-18 PM 1:00:00,12,27.3,3.4,60,21.7,1767,0.004,0.6,0.06,0.005,25
2019-08-18 PM 2:00:00,12,28,2.9,55,20.8,2000,0.004,0.6,0.063,0.006,27
2019-08-18 PM 3:00:00,14,28.3,3.4,52,19.9,2000,0.004,0.6,0.065,0.007,27
2019-08-18 PM 4:00:00,14,28,3.8,52,19.6,2000,0.004,0.5,0.067,0.007,26
2019-08-18 PM 5:00:00,13,27.2,4,61,22,1384,0.003,0.4,0.061,0.008,24
2019-08-18 PM 6:00:00,12,27,3.8,66,23.4,2000,0.004,0.4,0.054,0.008,26
2019-08-18 PM 7:00:00,15,25.9,2.3,69,22.9,1884,0.003,0.4,0.047,0.009,26
2019-08-18 PM 8:00:00,16,25,2.5,73,23.1,2000,0.002,0.4,0.045,0.008,28
2019-08-18 PM 9:00:00,11,24.7,2.2,78,24.1,2000,0.002,0.4,0.044,0.008,22
2019-08-18 PM 10:00:00,12,24.2,1.8,77,23.2,2000,0.002,0.4,0.044,0.007,21
2019-08-18 PM 11:00:00,8,23.9,2,76,22.5,2000,0.002,0.4,0.041,0.01,22
2019-08-19 AM 1:00:00,11,23.5,0.4,78,22.5,1890,0.002,0.4,0.034,0.012,27
2019-08-19 AM 2:00:00,13,23.3,1.7,83,23.7,2000,0.003,0.4,0.019,0.017,26
2019-08-19 AM 3:00:00,12,23.3,1,86,24.6,1987,0.002,0.4,0.025,0.012,21
2019-08-19 AM 4:00:00,12,23.2,0.1,85,24.1,1555,0.003,0.4,0.018,0.011,22
2019-08-19 AM 5:00:00,13,23.2,0.8,87,24.7,1295,0.002,0.4,0.023,0.009,23
2019-08-19 AM 6:00:00,15,22.9,0.7,89,24.7,1034,0.002,0.4,0.012,0.011,23
2019-08-19 AM 7:00:00,15,23,1.1,87,24.4,1132,0.003,0.4,0.007,0.014,24
2019-08-19 AM 8:00:00,14,23.7,1.4,83,24.3,926,0.003,0.5,0.007,0.017,26
2019-08-19 AM 9:00:00,15,25.1,0.7,75,23.8,824,0.002,0.4,0.018,0.02,29
2019-08-19 AM 10:00:00,18,25.6,2.2,74,24.3,1064,0.003,0.4,0.032,0.014,29
2019-08-19 AM 11:00:00,15,26.7,3.1,67,23.4,1371,0.003,0.4,0.039,0.015,24
2019-08-19 PM 12:00:00,18,27.4,3.3,62,22.5,1640,0.003,0.4,0.053,0.011,28
