date,PM25,temp,ws,hum,press,distance,SO2,CO,O3,NO2,PM10
2019-02-05 AM 2:00:00,12,-1.9,1.6,55,2.9,1606,0.003,0.6,0.002,0.045,42
2019-02-05 AM 3:00:00,25,-1.9,0.8,54,2.9,1563,0.003,0.6,0.002,0.045,47
2019-02-05 AM 4:00:00,21,-2,2.4,58,3.1,1515,0.003,0.6,0.002,0.041,51
2019-02-05 AM 5:00:00,20,-0.8,4.1,50,2.9,1863,0.003,0.7,0.002,0.044,50
2019-02-05 AM 6:00:00,22,-0.7,4.1,44,2.6,1962,0.004,0.7,0.002,0.047,52
2019-02-05 AM 7:00:00,21,-1.2,3.9,47,2.6,1887,0.004,0.7,0.002,0.047,52
2019-02-05 AM 8:00:00,17,-1.1,3.8,49,2.8,1841,0.004,0.6,0.003,0.045,51
2019-02-05 AM 9:00:00,16,1,3.7,46,3,1716,0.004,0.7,0.005,0.043,57
2019-02-05 AM 10:00:00,21,3.4,3.4,40,3.1,1517,0.005,0.6,0.007,0.043,63
2019-02-05 AM 11:00:00,28,5.1,4.9,31,2.7,1358,0.008,0.7,0.021,0.03,84
2019-02-05 PM 12:00:00,16,6.9,3.7,27,2.7,1311,0.006,0.5,0.033,0.019,121
2019-02-05 PM 1:00:00,17,7.9,4.3,20,2.1,1080,0.006,0.5,0.038,0.017,137
2019-02-05 PM 2:00:00,24,8.4,4.4,23,2.5,1064,0.005,0.5,0.043,0.014,137
2019-02-05 PM 3:00:00,30,8.5,4.1,24,2.7,1013,0.006,0.4,0.048,0.011,145
2019-02-05 PM 4:00:00,31,8.4,1.6,28,3.1,940,0.007,0.5,0.046,0.014,157
2019-02-05 PM 5:00:00,35,7.3,1.9,32,3.3,923,0.008,0.5,0.04,0.021,147
2019-02-05 PM 6:00:00,32,6.5,1.8,34,3.3,877,0.007,0.6,0.032,0.029,147
2019-02-05 PM 7:00:00,34,5.8,2.5,35,3.2,864,0.007,0.7,0.014,0.049,147
2019-02-05 PM 8:00:00,40,5.7,2.1,32,2.9,806,0.006,0.9,0.003,0.063,141
2019-02-05 PM 9:00:00,37,4.9,2,42,3.6,795,0.005,1,0.002,0.068,137
2019-02-05 PM 10:00:00,41,4.7,2.6,43,3.7,831,0.005,1.2,0.002,0.07,136
2019-02-05 PM 11:00:00,37,4.6,2.8,37,3.1,852,0.006,1.1,0.002,0.07,132
2019-02-06 AM 1:00:00,43,3.3,1.5,48,3.7,657,0.005,0.8,0.002,0.062,127
2019-02-06 AM 2:00:00,40,2.9,1.7,53,4,807,0.005,0.8,0.002,0.056,133
2019-02-06 AM 3:00:00,41,2.6,1.4,48,3.5,688,0.004,0.7,0.004,0.048,134
2019-02-06 AM 4:00:00,44,2.7,1.9,47,3.5,728,0.004,0.8,0.002,0.049,134
2019-02-06 AM 5:00:00,43,2.8,3.2,52,3.9,680,0.004,0.9,0.002,0.052,129
2019-02-06 AM 6:00:00,39,3,2.8,48,3.6,813,0.004,1.1,0.002,0.062,121
2019-02-06 AM 7:00:00,38,2.4,1.6,54,3.9,778,0.004,1.2,0.002,0.065,119
2019-02-06 AM 8:00:00,36,2,2.4,56,4,801,0.004,1.1,0.002,0.058,113
2019-02-06 AM 9:00:00,38,3.6,3.1,52,4.1,890,0.004,1.1,0.003,0.053,113
2019-02-06 AM 10:00:00,35,4.4,1.1,51,4.3,854,0.005,1.1,0.004,0.059,111
2019-02-06 AM 11:00:00,44,6.3,1.1,48,4.6,857,0.006,1.1,0.005,0.056,121
2019-02-06 PM 12:00:00,40,7.5,1.5,51,5.3,910,0.007,1,0.011,0.048,119
2019-02-06 PM 1:00:00,35,8.3,2.1,56,6.1,1060,0.009,0.6,0.027,0.034,117
2019-02-06 PM 2:00:00,29,9.5,1.7,58,6.9,1397,0.009,0.5,0.035,0.024,107
2019-02-06 PM 3:00:00,25,8.9,1.3,50,5.7,1454,0.006,0.5,0.041,0.018,102
2019-02-06 PM 4:00:00,23,8.2,3.4,54,5.9,1531,0.007,0.5,0.036,0.024,100
2019-02-06 PM 5:00:00,21,7.9,2.5,57,6.1,1389,0.005,0.5,0.04,0.021,92
2019-02-06 PM 6:00:00,20,6.2,2.7,68,6.4,1030,0.006,0.5,0.031,0.03,84
2019-02-06 PM 7:00:00,20,5.9,2.9,75,6.9,938,0.008,0.5,0.025,0.034,85
2019-02-06 PM 8:00:00,22,5.8,2.1,83,7.6,757,0.006,0.6,0.016,0.041,86
2019-02-06 PM 9:00:00,24,5.6,2.3,88,8,621,0.005,0.6,0.024,0.029,92
2019-02-06 PM 10:00:00,28,5.3,2.9,93,8.2,434,0.004,0.5,0.027,0.021,91
2019-02-06 PM 11:00:00,25,5.1,1.2,96,8.4,286,0.003,0.4,0.031,0.014,91
2019-02-07 AM 1:00:00,26,4.5,1.8,98,8.2,196,0.003,0.6,0.028,0.012,124
2019-02-07 AM 2:00:00,40,4,1.7,95,7.7,266,0.003,0.7,0.032,0.009,106
2019-02-07 AM 3:00:00,48,2.7,3.7,80,5.9,204,0.003,0.7,0.03,0.009,113
2019-02-07 AM 4:00:00,58,1.1,5.8,83,5.5,244,0.003,0.8,0.033,0.008,119
2019-02-07 AM 5:00:00,74,0.5,5.3,88,5.6,312,0.003,0.8,0.029,0.009,125
2019-02-07 AM 6:00:00,69,0.4,6.3,76,4.8,328,0.003,0.7,0.034,0.007,116
2019-02-07 AM 7:00:00,62,-0.6,8.6,75,4.4,434,0.003,0.7,0.027,0.01,108
2019-02-07 AM 8:00:00,48,-1.4,8,57,3.1,1034,0.003,0.6,0.026,0.011,87
2019-02-07 AM 9:00:00,30,-1.7,5.3,47,2.5,1962,0.003,0.5,0.027,0.014,61
2019-02-07 AM 10:00:00,19,-2.5,7.4,50,2.5,2000,0.003,0.4,0.028,0.014,45
2019-02-07 AM 11:00:00,19,-2.7,6.7,45,2.3,2000,0.003,0.4,0.028,0.014,45
2019-02-07 PM 12:00:00,15,-2.4,7.3,35,1.8,2000,0.004,0.4,0.035,0.007,38
2019-02-07 PM 1:00:00,15,-2.2,5.8,36,1.9,1915,0.004,0.4,0.035,0.007,38
2019-02-07 PM 2:00:00,15,-2.1,7,30,1.6,1975,0.003,0.4,0.037,0.007,38
2019-02-07 PM 3:00:00,16,-2.6,7.7,32,1.6,2000,0.003,0.4,0.037,0.007,35
2019-02-07 PM 4:00:00,4,-2.5,5.1,30,1.5,2000,0.003,0.4,0.036,0.008,31
2019-02-07 PM 5:00:00,18,-3.4,5.6,28,1.3,2000,0.003,0.4,0.034,0.01,30
2019-02-07 PM 6:00:00,14,-4.3,5.9,37,1.6,2000,0.003,0.4,0.033,0.01,31
2019-02-07 PM 7:00:00,11,-5,5.4,39,1.6,2000,0.004,0.4,0.029,0.014,34
2019-02-07 PM 8:00:00,22,-5.6,7.1,41,1.7,2000,0.004,0.4,0.029,0.012,33
2019-02-07 PM 9:00:00,15,-6.7,6.6,41,1.5,2000,0.003,0.4,0.03,0.009,32
2019-02-07 PM 10:00:00,19,-7.5,6.7,47,1.6,2000,0.003,0.4,0.03,0.008,34
2019-02-07 PM 11:00:00,16,-7.9,6.5,48,1.6,2000,0.002,0.4,0.03,0.008,31
2019-02-08 AM 1:00:00,17,-8.8,5.2,44,1.4,2000,0.003,0.4,0.032,0.005,30
2019-02-08 AM 2:00:00,16,-9,6.2,39,1.2,2000,0.003,0.4,0.033,0.005,25
2019-02-08 AM 3:00:00,15,-9.4,6.4,36,1.1,2000,0.003,0.4,0.032,0.005,27
2019-02-08 AM 4:00:00,8,-9.6,4.2,41,1.2,2000,0.003,0.4,0.032,0.005,28
2019-02-08 AM 5:00:00,10,-10,4.4,41,1.2,2000,0.003,0.4,0.03,0.005,27
2019-02-08 AM 6:00:00,10,-10.3,5.4,41,1.1,2000,0.002,0.4,0.028,0.007,26
2019-02-08 AM 7:00:00,9,-10.3,3.1,42,1.2,2000,0.002,0.4,0.027,0.01,24
2019-02-08 AM 8:00:00,10,-10.4,2.8,45,1.3,2000,0.002,0.4,0.022,0.014,25
2019-02-08 AM 9:00:00,10,-9.3,2.5,41,1.2,1932,0.002,0.5,0.019,0.018,26
2019-02-08 AM 10:00:00,13,-8.2,3,40,1.3,1976,0.003,0.4,0.022,0.016,31
2019-02-08 AM 11:00:00,13,-6.9,2.8,34,1.2,2000,0.003,0.4,0.024,0.013,30
2019-02-08 PM 12:00:00,16,-5.9,3.3,33,1.3,2000,0.003,0.4,0.023,0.016,31
2019-02-08 PM 1:00:00,17,-5,3.5,35,1.5,2000,0.003,0.4,0.028,0.014,37
2019-02-08 PM 2:00:00,18,-4.5,3.5,33,1.5,2000,0.003,0.5,0.03,0.012,37
2019-02-08 PM 3:00:00,18,-4,3.4,40,1.8,2000,0.004,0.4,0.03,0.012,39
2019-02-08 PM 4:00:00,18,-3.7,3.2,39,1.8,2000,0.004,0.5,0.031,0.012,39
2019-02-08 PM 5:00:00,20,-4.4,3.8,36,1.6,2000,0.003,0.4,0.03,0.012,43
2019-02-08 PM 6:00:00,22,-4.8,2.8,34,1.5,1962,0.004,0.5,0.028,0.015,44
2019-02-08 PM 7:00:00,19,-5.2,3.9,35,1.5,1975,0.004,0.6,0.023,0.019,39
2019-02-08 PM 8:00:00,25,-5.2,3.4,34,1.4,1975,0.004,0.6,0.019,0.023,47
2019-02-08 PM 9:00:00,24,-5.1,2.6,38,1.6,1754,0.003,0.6,0.017,0.024,49
2019-02-08 PM 10:00:00,25,-4.9,3.2,38,1.6,1887,0.004,0.6,0.019,0.019,53
2019-02-08 PM 11:00:00,26,-5,2.6,40,1.7,1841,0.004,0.6,0.023,0.014,54
2019-02-09 AM 1:00:00,20,-5.9,4,39,1.5,2000,0.003,0.5,0.026,0.009,42
2019-02-09 AM 2:00:00,17,-5.9,4.3,40,1.6,1786,0.003,0.4,0.03,0.006,41
2019-02-09 AM 3:00:00,17,-5.9,3.7,43,1.7,2000,0.003,0.4,0.032,0.005,38
2019-02-09 AM 4:00:00,15,-6.4,5.6,44,1.7,2000,0.003,0.4,0.032,0.005,36
2019-02-09 AM 5:00:00,14,-6.8,4.7,47,1.7,2000,0.003,0.4,0.03,0.006,34
2019-02-09 AM 6:00:00,15,-6.8,4.5,50,1.8,1937,0.002,0.4,0.028,0.008,36
2019-02-09 AM 7:00:00,15,-6.9,5.9,45,1.6,1887,0.003,0.5,0.022,0.015,36
2019-02-09 AM 8:00:00,15,-7.3,3.7,49,1.7,1686,0.003,0.5,0.023,0.015,38
2019-02-09 AM 9:00:00,17,-6.6,3.8,39,1.5,2000,0.003,0.5,0.024,0.014,40
2019-02-09 AM 10:00:00,17,-5.8,6,32,1.3,1987,0.004,0.6,0.026,0.012,39
2019-02-09 AM 11:00:00,19,-5.3,5.6,34,1.4,2000,0.004,0.5,0.03,0.009,45
2019-02-09 PM 12:00:00,18,-4.6,5.7,38,1.7,2000,0.004,0.5,0.033,0.008,42
2019-02-09 PM 1:00:00,18,-4.2,5.6,37,1.7,2000,0.004,0.4,0.034,0.007,41
2019-02-09 PM 2:00:00,15,-3.8,5.7,29,1.3,2000,0.003,0.4,0.035,0.008,38
2019-02-09 PM 3:00:00,18,-3.4,5.2,30,1.4,2000,0.003,0.4,0.037,0.008,38
2019-02-09 PM 4:00:00,17,-3,4.1,28,1.4,2000,0.004,0.4,0.037,0.008,38
2019-02-09 PM 5:00:00,15,-3,4.7,25,1.2,2000,0.004,0.4,0.037,0.009,37
2019-02-09 PM 6:00:00,16,-3.6,4.7,23,1.1,2000,0.004,0.4,0.034,0.011,37
2019-02-09 PM 7:00:00,17,-4.1,5.1,26,1.2,2000,0.003,0.5,0.03,0.014,39
2019-02-09 PM 8:00:00,17,-4.3,4.3,28,1.2,2000,0.003,0.5,0.029,0.014,38
2019-02-09 PM 9:00:00,18,-4.8,4.9,28,1.2,2000,0.003,0.5,0.029,0.012,40
2019-02-09 PM 10:00:00,20,-5.4,4.2,30,1.2,1900,0.004,0.5,0.029,0.012,45
2019-02-09 PM 11:00:00,20,-6,5,40,1.6,1715,0.003,0.5,0.027,0.012,46
2019-02-10 AM 1:00:00,18,-6.4,3.6,41,1.6,1852,0.003,0.4,0.03,0.009,40
2019-02-10 AM 2:00:00,18,-6.9,4.1,42,1.5,1852,0.003,0.4,0.03,0.01,37
2019-02-10 AM 3:00:00,19,-7.2,3.8,39,1.4,1808,0.003,0.4,0.031,0.008,37
2019-02-10 AM 4:00:00,20,-7.6,3,44,1.5,1705,0.003,0.4,0.03,0.009,38
2019-02-10 AM 5:00:00,19,-7.9,3.4,45,1.5,1649,0.003,0.5,0.028,0.01,41
2019-02-10 AM 6:00:00,19,-8,2.8,45,1.5,1613,0.003,0.5,0.022,0.016,39
2019-02-10 AM 7:00:00,22,-7.9,2.2,45,1.5,1786,0.003,0.5,0.021,0.017,42
2019-02-10 AM 8:00:00,20,-7.8,2.4,41,1.4,1852,0.003,0.5,0.019,0.02,44
2019-02-10 AM 9:00:00,23,-7.2,1.9,39,1.4,1799,0.003,0.6,0.02,0.018,45
2019-02-10 AM 10:00:00,24,-6.3,1.4,36,1.4,1841,0.003,0.5,0.022,0.016,50
2019-02-10 AM 11:00:00,25,-5.3,2.9,42,1.7,1623,0.004,0.5,0.026,0.013,50
2019-02-10 PM 12:00:00,27,-4.4,2.6,36,1.6,1987,0.004,0.6,0.028,0.013,55
2019-02-10 PM 1:00:00,28,-3.8,2.2,39,1.8,2000,0.004,0.5,0.032,0.011,53
2019-02-10 PM 2:00:00,26,-3.7,1.9,38,1.8,1987,0.004,0.5,0.034,0.011,47
2019-02-10 PM 3:00:00,27,-3.2,2.5,36,1.7,2000,0.004,0.5,0.032,0.013,46
2019-02-10 PM 4:00:00,29,-3,3,37,1.8,1888,0.004,0.5,0.033,0.012,53
2019-02-10 PM 5:00:00,27,-3.2,2.8,34,1.6,1937,0.003,0.5,0.033,0.013,51
2019-02-10 PM 6:00:00,25,-3.5,2.5,33,1.6,1832,0.004,0.5,0.034,0.012,45
2019-02-10 PM 7:00:00,28,-3.6,3,43,2,1852,0.004,0.5,0.031,0.015,48
2019-02-10 PM 8:00:00,26,-3.6,3.2,42,2,1678,0.004,0.6,0.03,0.013,46
2019-02-10 PM 9:00:00,29,-3.6,2.4,39,1.8,1764,0.004,0.5,0.031,0.012,48
2019-02-10 PM 10:00:00,29,-3.7,2.2,39,1.8,1596,0.004,0.6,0.029,0.012,50
2019-02-10 PM 11:00:00,29,-3.9,3.2,37,1.7,1471,0.003,0.6,0.03,0.011,51
2019-02-11 AM 1:00:00,32,-4.6,3.6,43,1.9,1775,0.003,0.5,0.031,0.009,54
2019-02-11 AM 2:00:00,29,-4.9,2.7,44,1.9,1764,0.003,0.5,0.031,0.008,51
2019-02-11 AM 3:00:00,25,-5,4,48,2,2000,0.003,0.5,0.031,0.008,48
2019-02-11 AM 4:00:00,23,-5.3,4.7,48,2,2000,0.003,0.5,0.03,0.008,44
2019-02-11 AM 5:00:00,22,-5.4,2.5,46,1.9,2000,0.003,0.5,0.026,0.011,35
2019-02-11 AM 6:00:00,22,-5.8,2.3,46,1.8,2000,0.003,0.5,0.021,0.019,35
2019-02-11 AM 7:00:00,18,-6.2,1.2,45,1.7,2000,0.002,0.5,0.011,0.032,34
2019-02-11 AM 8:00:00,24,-6.2,0.4,46,1.8,2000,0.003,0.6,0.005,0.041,40
2019-02-11 AM 9:00:00,27,-4.4,1.9,42,1.8,2000,0.004,0.7,0.005,0.051,49
2019-02-11 AM 10:00:00,34,-3.1,2.5,41,2,2000,0.004,0.7,0.013,0.04,60
2019-02-11 AM 11:00:00,28,-2.2,3.3,42,2.2,2000,0.004,0.5,0.027,0.017,49
2019-02-11 PM 12:00:00,22,-1.2,4.3,39,2.2,1811,0.004,0.5,0.032,0.014,41
2019-02-11 PM 1:00:00,20,-0.4,4.4,32,1.9,2000,0.004,0.5,0.036,0.01,38
2019-02-11 PM 2:00:00,22,-0.1,3.8,35,2.1,1879,0.004,0.5,0.039,0.008,41
2019-02-11 PM 3:00:00,20,0.4,3.3,32,2,1926,0.004,0.5,0.038,0.01,42
2019-02-11 PM 4:00:00,21,0.4,4.3,35,2.2,1600,0.004,0.5,0.037,0.012,42
2019-02-11 PM 5:00:00,25,0.7,3.1,34,2.2,1742,0.004,0.6,0.035,0.017,48
2019-02-11 PM 6:00:00,24,-0.4,5.1,42,2.5,2000,0.004,0.7,0.03,0.022,47
2019-02-11 PM 7:00:00,26,-0.8,3.7,46,2.6,2000,0.004,0.6,0.025,0.027,52
2019-02-11 PM 8:00:00,25,-0.7,3.1,46,2.7,1745,0.004,0.6,0.025,0.026,50
2019-02-11 PM 9:00:00,28,-1.3,4.2,42,2.3,1830,0.004,0.8,0.019,0.034,50
2019-02-11 PM 10:00:00,26,-1.7,3.6,45,2.4,1587,0.005,0.6,0.021,0.027,50
2019-02-11 PM 11:00:00,26,-2.2,2.7,36,1.9,1725,0.005,0.6,0.023,0.022,47
2019-02-12 AM 1:00:00,27,-3,1.2,34,1.7,1666,0.003,0.7,0.015,0.03,48
2019-02-12 AM 2:00:00,28,-3.2,1.5,33,1.6,1564,0.004,0.7,0.01,0.036,47
2019-02-12 AM 3:00:00,27,-2.9,0.4,35,1.7,1547,0.004,0.8,0.007,0.039,50
2019-02-12 AM 4:00:00,30,-2.3,1.4,39,2,1391,0.004,0.8,0.015,0.03,54
2019-02-12 AM 5:00:00,36,-2.5,3.3,49,2.5,1255,0.004,0.7,0.02,0.024,56
2019-02-12 AM 6:00:00,40,-2.5,0.3,54,2.8,1024,0.004,0.7,0.025,0.02,60
2019-02-12 AM 7:00:00,43,-2.4,0.3,57,2.9,1024,0.003,0.8,0.021,0.027,63
2019-02-12 AM 8:00:00,43,-2.5,0.6,61,3.1,906,0.004,0.9,0.007,0.046,67
2019-02-12 AM 9:00:00,46,-1.7,0.8,63,3.4,688,0.004,0.9,0.005,0.052,73
